Country,Status,Verified,Date,Center ID,Center,Type,Activity,Org,Capacity (N),Equipment (R.A.G),Staff (N),Doctors,Nurses,Isolation Facility,PPE,Burial Site,Water,Power,Comm.,Date open,Date closed,Region,Adm1 ID,Prefecture,Adm2 ID,Sous Prefecture,Place,Lat,Long,Address,Clinic Website,Location in OSM,Notes,Source of info
Guinea,,N,01/01/2002,HM0106,Kottèya,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Koba,Kitto,10.010792, -13.951309,,,,,
Guinea,,Y,01/01/2002,HM0105,Tatéma,3,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Koba,Koba - Tatéma,9.9490995,-13.8846998,,,,Geolocated to town level,"https://www.google.com.sl/maps/place/9%C2%B056%2756.8%22N+13%C2%B053%2704.9%22W/@9.9491111,-13.8846944,897m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0104,Tatéma,3,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Koba,Koba - Tatéma,9.9536695,-13.9052,,,,Geolocated to area within the town.,"https://www.google.com.sl/maps/place/Tatema,+Koba,+Guinea/@9.9524338,-13.907367,3586m/data=!3m2!1e3!4b1!4m2!3m1!1s0xf1d3fe4927a2603:0xc06ecec75b877b82?hl=en"
Guinea,,N,01/01/2002,HM0934,Moussaya,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Koba,"Moussaya, Tatema",9.980535,-13.816617,,,,Geolocated to village level.,"https://www.google.com.sl/maps/place/9%C2%B058%2754.8%22N+13%C2%B049%2750.9%22W/@9.9816062,-13.8161484,946m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,N,01/01/2002,HM0107,M'Bendia,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Koba,Souguebounyi (SouguéBunyi),9.9293203,-13.7369003,,,,This is geolocated to an unlisted village within the wider area of Souguébounyi.  The coordinates for the area of Sougoubounyi are: 9.9584163 -13.642222.,"https://www.google.com.sl/maps/place/Sougu%C3%A9bunyi,+Guinea/@9.9584163,-13.642222,7172m/data=!3m2!1e3!4b1!4m2!3m1!1s0xf1d360c75cdce91:0x636e5798c85c43eb?hl=en"
Guinea,,Y,01/01/2002,HM0103,Colia,Health Center,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Kolia,Koliah Centre,10.4120998,-14.0530005,,,,Lat/Long in region of the villege,MOH. http://www.ceniguinee.org/doc/bv_pdf/Liste_bv_boke.pdf
Guinea,,N,01/01/2002,HM0976,Diougouma,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Kolia,Mokefoton,10.6906996,-14.0355997,,,,"This comes from openstreet map, it is backed up by Google Earth which show co-ords at Diougouru but does not match a search in Geonames which suggests Kavessi",http://www.openstreetmap.org/
Guinea,,N,01/01/2002,HM0112,N'Dantari Centre,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Kolia,Yenguissa (Yanguessa),10.5202999,-13.8318996,,,,"This is geolocated to an unlisted village not far from Yenguissa, which is located at: 10.509039, -13.763759.","https://www.google.com.sl/maps/place/10%C2%B031%2713.1%22N+13%C2%B049%2754.8%22W/@10.5202999,-13.8318996,895m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0111,Missira,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Lisso,Falaba,10.4556999,-13.8500004,,,,This is geolocated to an unlisted village very close to Falaba.,"https://www.google.com.sl/maps/place/10%C2%B027%2720.5%22N+13%C2%B051%2700.0%22W/@10.4556944,-13.85,895m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0110,Lisso Centre,Health Center,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Lisso,Kakara (Cacara),10.2238998,-13.8961,,,,"Geolocated to Lisso.  Kakara is according to OSM is located very close to the village of Lisso at: 10.2333, -13.8835","https://www.google.com.sl/maps/place/10%C2%B013%2759.9%22N+13%C2%B053%2700.6%22W/@10.2258564,-13.8898013,1993m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,N,01/01/2002,HM0928,Khatia,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Lisso,Katiya (Kativa),10.3297005,-13.9398003,,,,Geolocated to village level between Kativa & Koleyadi.,"https://www.google.com/maps/place/10%C2%B019%2746.9%22N+13%C2%B056%2723.3%22W/@10.3297005,-13.9398003,3867m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0"
Guinea,,Y,01/01/2002,HM0108,Bondy,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Lisso,Tamalan,10.3479004,-13.9082003,,,,geoloc to village level - cannot find name,
Guinea,,,01/01/2002,HM0109,Wondetty,3,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Lisso,Wonditty,10.2890997,-13.8745003,,,,"This is geolocated to an unlisted village, which is close to some of the other villages listed as in the same area on the voting register.",http://www.ceniguinee.org/doc/bv_pdf/boke_boffa.pdf
Guinea,,Y,01/01/2002,HM0114,Kakala,3,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Mankountan,Kakala,10.4861002,-14.4118004,,,,,
Guinea,,Y,01/01/2002,HM0113,Mankountan,Health Center,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Mankountan,Mankountan,10.5373001,-14.4432001,,,,"These coordinates are for the town of Benitmodia, which is in the sous-prefecture of Mankounta.   It is not possible to geolocate Mankountan town itself.",
Guinea,,Y,01/01/2002,HM0116,Corrérah Centre,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tamita,Correrah,10.2901001,-13.8612003,,,,"Other names are Cacara, Khorira, Korera, ",http://www.geonames.org/v3/
Guinea,,N,01/01/2002,HM0932,Fallandjan,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tamita,Filanyan (Filanian),10.0985003,-13.9173002,,,,Geolocated to village level.  ,"https://www.google.com/maps/place/10%C2%B005%2754.6%22N+13%C2%B055%2702.3%22W/@10.0985003,-13.9173002,968m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,Y,01/01/2002,HM0117,Gbassaya Centre,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tamita,Gbassayah,10.199470,-13.901096,,,,,
Guinea,,,01/01/2002,HM0115,Tamita,Health Center,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tamita,Tamita Centre,10.1415005,-13.9420996,,,,"This is geolocated to an unlisted village, according to google the area of Tamita is over 2 hours drive away from this location around the area of: 10.4833298,-14.316667.","https://www.google.com.sl/maps/place/Tamita,+Guinea/@10.4833298,-14.316667,14321m/data=!3m2!1e3!4b1!4m2!3m1!1s0xee262c58b342fe1:0x931baa6f9968bf81?hl=en"
Guinea,,Y,01/01/2002,HM0118,Yènguissa Centre,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tamita,Yenguissa (Yanguessa),10.5101004,-13.76236,,,,Geolocated to town level,"https://www.google.com.sl/maps/place/Yanguessa,+Guinea/@10.5101004,-13.76236,2236m/data=!3m1!1e3!4m2!3m1!1s0xee2bac522261ab7:0xfdb94018de0772d8?hl=en"
Guinea,,Y,01/01/2002,HM0119,Tougnifily,Health Center,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tougnifily,Tougnifily Centre,10.3955002,-14.4251003,,,,Geolocated to town level,"https://www.google.com.sl/maps/place/10%C2%B023%2743.8%22N+14%C2%B025%2730.4%22W/@10.3955002,-14.4251003,1788m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0120,Mamiah Centre,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Tougnifily (Tougnifili),Mamiya,10.3105001,-14.4390001,,,,This is geolocated to an unlisted village within the area of Tougnifily.,"https://www.google.com.sl/maps/place/10%C2%B018%2737.8%22N+14%C2%B026%2720.4%22W/@10.3105001,-14.4390001,896m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0122,Bintimodia (Bintoumodia) ,1,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Bintimodia,Bintimodia (Bintoumodia)Centre,10.6528997,-14.4497004,,,,"This is a small village unlikely to have more than one health facility - it is listed as type 1 facility, but could be the type 3 - Centre de Santé that the Ministére di Santé has listed. ","https://www.google.it/maps/place/10%C2%B039%2710.4%22N+14%C2%B026%2758.9%22W/@10.6528997,-14.4497004,3892m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,,01/01/2002,HM0124,Kankako Centre,4,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Bintimodia,Kankako 16,10.615824,-14.370878,,,,Geolocated to village level.,"https://www.google.com.sl/maps/place/10%C2%B036%2740.7%22N+14%C2%B022%2714.2%22W/@10.6156054,-14.3706878,447m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0121,Kataco,4,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Bintimodia,Katako,10.6316996,-14.4722996,,,,Geolocated to village level according to OSM,http://www.openstreetmap.org/search?query=katako#map=12/10.6333/-14.4836&layers=HN
Guinea,,,01/01/2002,HM0123,Kolia-Sana Mato,4,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Bintimodia,Kolia,10.6716995,-14.3669996,,,,Geolocated to an unlisted village close to Sangueya and within the area of Bintimodia.,"https://www.google.com/maps/place/10%C2%B040%2718.1%22N+14%C2%B022%2701.2%22W/@10.6716944,-14.367,1009m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,Open,N,09/10/2014,MOH036,Centre de Santé Boké Centre,CSU,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Boké Centre,Boké Centre,10.9409,-14.2848,Boké Centre,,,Lat/long at centeroid of Boké City,"MOH, https://www.google.com.sl/maps/place/10%C2%B056%2727.2%22N+14%C2%B017%2705.3%22W/@10.9409,-14.2848,1788m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,Open,N,09/10/2014,HM0127,Boké Correrah (Khorera),CSU,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Boké Centre,Boké Correrah,10.9573002,-14.2966995,Boké Correrah,,,Geolocated to area within the town.,"https://www.google.com.sl/maps/place/10%C2%B057%2726.3%22N+14%C2%B017%2748.1%22W/@10.9573002,-14.2966995,894m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,,01/01/2002,HM0125,Dibia,3,,,,,,,,,,,,,,,,Boké,,Boké,,Boké Centre,Dibia,10.9344997,-14.2917004,,,,Geolocated to town level,"https://www.google.com.sl/maps/place/10%C2%B056%2704.2%22N+14%C2%B017%2730.1%22W/@10.9299651,-14.2919367,1791m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,Dupl HM0126,Y,,GN-STF018,Hopital Régional Boke,Hospital,,,,,,,,,,,,,,,,Boké,,Boké,,Boké Centre,Dibia-Gobi,10.931592,-14.294722,,,,The Lat/Long -approx centre of the town,
Guinea,,Y,,GN-STF021,Hopital Préfectoral Koundara,Hospital,,,,,,,,,,,,,,,,Boké,,Boké,,Boké Centre,Koundara,12.4851543,-13.298509,,,,Geolocated to town level.,"http://guinee-hopitaux.blogspot.it/p/annuaire-hospitalier-hp-et-cmc.html, http://www.openstreetmap.org/node/496398752"
Guinea,,Y,01/01/2002,HM0128,Dabiss,Health Center,,,,,,,,,,,,,,,,Boké,,Boké,,Dabiss,Dabiss Centre,11.1917,-14.54,,,,Geolocated to village level,"https://www.google.com.sl/maps/place/11%C2%B011%2730.1%22N+14%C2%B032%2724.0%22W/@11.1917,-14.54,893m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0999,Bocarea,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Bokarya,10.7292995,-14.4857998,,,,,
Guinea,,Y,01/01/2002,HM0129,Kamakouloun,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Kamakouloun,10.7168999,-14.5221004,,,,,
Guinea,,Y,01/01/2002,HM0134,Hôpital Compagnie Bauxite Guinee (CBG) Kamsar,Hospital,HIV testing,,,,,,,,,,Y,Y ,,,,Boké,,Boké,,Kamsar,Kamsar,10.6457005,-14.6129999,,,,"Modern, well-equipped hospital",http://fr.wikipedia.org/wiki/Kamsar
Guinea,,Y,01/01/2002,HM0133,O.F.A.B,1,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Kamsar Cite,10.6603003,-14.6044998,,,,,
Guinea,,N,01/01/2002,HM0131,Kayenguissa,Health Center,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Kayenguissa,10.6732998,-14.5375996,,,,A town'suburn of Kamsar - cannot ocnfirm name,
Guinea,,Y,01/01/2002,HM0136,Kouffin,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Kouffin,10.543014,-14.564357,,,,,
Guinea,,N,01/01/2002,HM0130,Neriboundji,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Missira-Nerebounyi,10.6875,-14.4698,,,,,
Guinea,,Y,01/01/2002,HM0135,Mohame 6 (Kamsar) Centre de Santé,3 - Health Centre,,GOV,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Port de Kamsar,10.6738997,-14.6032,,,,Geolocated to town level,"https://www.google.it/maps/place/10%C2%B040%2726.0%22N+14%C2%B036%2711.5%22W/@10.6738997,-14.6032,973m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0132,Taïgbé,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kamsar,Taigbe,10.6169004,-14.5998001,,,,,
Guinea,,N,01/01/2002,HM0983,Kadignet,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kanfarande,Kadigne,10.9126997,-14.0305004,,,,,
Guinea,,Y,01/01/2002,HM0137,Kanfarandé,Health Center,,,,,,,,,,,,,,,,Boké,,Boké,,Kanfarande,Kanfarande,10.8325005,-14.5438995,,,,,
Guinea,,Y,01/01/2002,HM0703,Kapkin,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kanfarande,Kapkin,10.8421001,-14.8818998,,,,,
Guinea,,N,01/01/2002,HM0702,Katfoura,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kanfarande,Katfoura,10.8077002,-15.0219002,,,,A village - cannot confirm name,
Guinea,,Y,,GN-STF109,CS Kassopo,Health Centre,HIV testing,,,,,,,,,,,,,,,Boké,,Boké,,Kasmar,,10.671065,-14.594434,,,,Geolocated to village level only (Kasmar),http://www.cnlsguineeconakry.org/index.php?option=com_content&view=article&id=281&Itemid=316
Guinea,,Y,01/01/2002,HM0139,Dabanku,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kollaboui,Dabankou,10.8292999,-14.4586,,,,,
Guinea,,Y,01/01/2002,HM0138,Kolaboui,Health Center,,,,,,,,,,,,,,,,Boké,,Boké,,Kollaboui,Kollaboui Centre,10.7982998,-14.3998003,,,,,
Guinea,,N,01/01/2002,HM0140,Saténèya,4,,,,,,,,,,,,,,,,Boké,,Boké,,Kollaboui,Satenenya,10.7909002,-14.4870005,,,,geoloc - small un-named town nr Wonkifong,
Guinea,,N,01/01/2002,HM0141,Malapouya,Health Center,,,,,,,,,,,,,,,,Boké,,Boké,,Malapouya,Malapouya Centre,10.713400,-14.174680,,,,,
Guinea,,N,01/01/2002,HM0146,Balandougou,4,,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,Balandougou,10.9216995,-13.8858995,,,,,
Guinea,,Y,01/01/2002,HM0145,Boulléré,3,,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,Boullere,11.1234999,-13.9597998,,,,,
Guinea,,N,01/01/2002,HM0144,Pétoun Bowè,3,,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,Kourawel,11.2020998,-13.9226999,,,,,
Guinea,,Y,01/01/2002,HM0143,Hôpital Compagnie Bauxite Guinee (CBG),1,HIV testing,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,Sangaredi Centre,11.1077003,-13.8136997,,,,,http://www.cnlsguineeconakry.org/index.php?option=com_content&view=article&id=281&Itemid=316
Guinea,,Y,01/01/2002,HM0142,Sangarédi,Health Center,HIV testing,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,Sangaredi Centre,11.1049004,-13.8107996,,,,,http://www.cnlsguineeconakry.org/index.php?option=com_content&view=article&id=281&Itemid=316
Guinea,,N,01/01/2002,HM0147,Soucka,3,,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,Soucka,11.0003004,-13.9237003,,,,,
Guinea,,Y,,GN-STF110,Dispensaire CBG,,HIV testing,,,,,,,,,,,,,,,Boké,,Boké,,Sangaredi,,11.097974,-13.768272,,,,Geolocated to village level only (Sangaredi),http://www.cnlsguineeconakry.org/index.php?option=com_content&view=article&id=281&Itemid=316
Guinea,,Y,01/01/2002,HM0148,Sansalé,Health Center,,,,,,,,,,,,,,,,Boké,,Boké,,Sansale,Sansale Centre,11.1148996,-14.8462,,,,,
Guinea,,Y,01/01/2002,HM0428,Djiguiti,4,,,,,,,,,,,,,,,,Boké,,Boké,,Tanene,Diguiti,11.2669001,-14.2060003,,,,,
Guinea,,N,01/01/2002,HM0427,Hamdallaye,3,,,,,,,,,,,,,,,,Boké,,Boké,,Tanene,Hamdallaye,11.0138998,-14.2405996,,,,This appears to be 'Hamdallaye/Tanene/Boke' from map ,
Guinea,,N,01/01/2002,HM0429,Katougouma,4,,,,,,,,,,,,,,,,Boké,,Boké,,Tanene,Katougouma,10.8818998,-14.4547005,,,,Is Katougouma in 'Bel-Air',
Guinea,,N,01/01/2002,HM0430,Kimeya,4,,,,,,,,,,,,,,,,Boké,,Boké,,Tanene,Kimiya,11.0466995,-14.4256001,,,,,
Guinea,,N,01/01/2002,HM0426,Dambantchian Centre,4,,,,,,,,,,,,,,,,Boké,,Boké,,Tanéné,Dambantiem,10.9694996,-14.1581001,,,,,
Guinea,,Y,01/01/2002,HM0173,Baguinet Centre de Santé,3 - Health Centre,,GOV,,,,,,,,,,,,,,Boké,,Fria,,Baguinet,Baguinet (Banguinet) Centre,10.4989004,-13.5207996,,,,"According to Google maps the coordinates for Baguinet are: 10.607217, -13.636501.  The listed coordinates are for an unlisted location.","https://www.google.it/maps/place/10%C2%B029%2756.0%22N+13%C2%B031%2714.9%22W/@10.4989004,-13.5207996,974m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,N,01/01/2002,HM0175,Fandjéta,4,,,,,,,,,,,,,,,,Boké,,Fria,,Baguinet,Fandjéta,10.5132999,-13.4040003,,,,This is geolocated to an unlisted village between the villages of Dolla and Benna approx 39 km from Banguinet town. Fandjéta is not listed in Google maps or OSM.,"https://www.google.com/maps/place/10%C2%B030%2747.9%22N+13%C2%B024%2714.4%22W/@10.5132999,-13.4040003,979m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,N,01/01/2002,HM0174,Madina,4,,,,,,,,,,,,,,,,Boké,,Fria,,Baguinet,Madina,10.5619001,-13.5826998,,,,"Geolocated to a village by the name of Guoguélanban, which is in the area of Fria. No 'Madina' can be found within this area on either OSM or Google maps.","https://www.google.com/maps/place/10%C2%B033%2742.8%22N+13%C2%B034%2757.7%22W/@10.5619001,-13.5826998,979m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,N,01/01/2002,HM0172,Nari,4,,,,,,,,,,,,,,,,Boké,,Fria,,Baguinet,,10.6634998,-13.4399996,,,,"This is geolocated to an unlisted village next to the village of Diobikoy, approx 45 km from Baguinet town.","https://www.google.com/maps/place/10%C2%B039%2748.6%22N+13%C2%B026%2724.0%22W/@10.6634998,-13.4399996,979m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,Y,01/01/2002,HM0170,Sodiorè,3,,,,,,,,,,,,,,,,Boké,,Fria,,Banguigny,Sodiore,10.6757002,-13.6007004,,,,Geolocated to village level.,"https://www.google.com/maps/place/10%C2%B040%2732.5%22N+13%C2%B036%2702.5%22W/@10.6757002,-13.6007004,979m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,N,01/01/2002,HM0171,Toulel,4,,,,,,,,,,,,,,,,Boké,,Fria,,Banguigny,Toulel,10.7249002,-13.5186996,,,,This is geolocated to an unlisted village not far from the village of Guelintiwol Fougue. 'Toulel' is not listed within this area on OSM or Google Maps.,"https://www.google.com/maps/place/10%C2%B043%2729.6%22N+13%C2%B031%2707.3%22W/@10.7248889,-13.5186944,979m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,Y,01/01/2002,HM0167,Aviation (N_F),4,,,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,Aviation,10.3583002,-13.5739002,,,,Geolocated to town level only.,"https://www.google.com/maps/place/10%C2%B021%2729.9%22N+13%C2%B034%2726.0%22W/@10.3583002,-13.5739002,980m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,N,01/01/2002,HM0169,Fatala (N.F),4,,,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,Fatala,10.5242996,-13.6947002,,,,"This is geolocated to an unlisted village next to Baraya approx 27 km from Fria.  This facility is listed as Fria centre which is located at: 10.3682083,-13.5778034","https://www.google.com/maps/place/Fria,+Guinea/@10.3682083,-13.5778034,7839m/data=!3m2!1e3!4b1!4m2!3m1!1s0xee2aae350f0540d:0x88d5f9083d180b13"
Guinea,,Y,01/01/2002,HM0165,Hôpital Péchiney,Hospital,,,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,Fria,10.3697004,-13.5771999,,,,Geolocated to town level only.,"https://www.google.com/maps/place/10%C2%B022%2710.9%22N+13%C2%B034%2737.9%22W/@10.3696944,-13.5771944,980m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,Open,Y,01/01/2002,HM0164,Hopital préfectoral  Fria,Hospital,,GOV,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,Fria,10.3656998,-13.5824003,,,,"Geolocated to town level, possibly geolocated to Hospital level.","http://guinee-hopitaux.blogspot.it/p/annuaire-hospitalier-hp-et-cmc.html, https://www.google.com/maps/place/10%C2%B021%2756.5%22N+13%C2%B034%2756.6%22W/@10.3656998,-13.5824003,980m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
Guinea,,Y,01/01/2002,HM0168,Tabossy,4,,,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,Tabossi,10.4028997,-13.5913,,,,Geolocated to town level.,"https://www.google.com/maps/place/10%C2%B024%2710.4%22N+13%C2%B035%2728.7%22W/@10.4028997,-13.5913,3913m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0"
Guinea,,Y,01/01/2002,HM0166,Tigué,3,,,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,Tigué,10.3704996,-13.5838003,,,,Geolocated to town level.,"https://www.google.com/maps/place/10%C2%B022%2713.8%22N+13%C2%B035%2701.7%22W/@10.3704996,-13.5838003,3919m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0"
Guinea,,Y,,GN-STF111,CS Sabèndè,Health Centre,HIV testing,,,,,,,,,,,,,,,Boké,,Fria,,Fria Centre,,10.365802,-13.583039,,,,Geolocated to village level only (Fria),http://www.cnlsguineeconakry.org/index.php?option=com_content&view=article&id=284&Itemid=322
Guinea,,N,01/01/2002,HM0163,Balandougou,4,,,,,,,,,,,,,,,,Boké,,Fria,,Tormelin,Balandougou,10.3958998,-13.7395,,,,"This is geolocated to an unlisted village close to Wondebinade, 15 km from the town of Tormelin. There are several listing for hamlets and villages with the name of Balandougou on OSM & Google maps, but none within this area.","https://www.google.com/maps/place/10%C2%B023%2745.2%22N+13%C2%B044%2722.2%22W/@10.3959,-13.7395,980m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0"
