"Country name","Admin level 1",Latitude,Longitude,"Sector (English)","Sector (Arabic)","Organisation URL","Organisation name"
Cameroon,Adamawa,6.5,13.5,Shelter,,http://www.pu-ami.org/,PU-AMI
Cameroon,East,5.61599,14.0625,Agriculture,,http://www.fao.org/,FAO
Cameroon,East,5.61599,14.0625,"Camp Management",,https://www.ifrc.org/,IFRC
Cameroon,East,5.61599,14.0625,"Camp Management",,http://www.pu-ami.org/,PU-AMI
Cameroon,East,5.61599,14.0625,"Camp Management",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,East,5.61599,14.0625,"Child Protection",,http://asseja.net/,ASSEJA
Cameroon,East,5.61599,14.0625,"Child Protection",,http://plan-international.org/,"PLAN International"
Cameroon,East,5.61599,14.0625,"Child Protection",,http://www.unicef.org/,UNICEF
Cameroon,East,5.61599,14.0625,"Community Services",,https://www.ifrc.org/,IFRC
Cameroon,East,5.61599,14.0625,Coordination,,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,East,5.61599,14.0625,"Core Relief Items (CRIs)",,http://www.iom.int,IOM
Cameroon,East,5.61599,14.0625,"Gender-Based Violence",,http://www.africahumanitarian.org/,AHA
Cameroon,East,5.61599,14.0625,"Gender-Based Violence",,,"CARE International"
Cameroon,East,5.61599,14.0625,"Gender-Based Violence",,http://www.unwomen.org/,"UN Women"
Cameroon,East,5.61599,14.0625,"Gender-Based Violence",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,East,5.61599,14.0625,Health,,http://www.africahumanitarian.org/,AHA
Cameroon,East,5.61599,14.0625,Health,,https://www.ifrc.org/,IFRC
Cameroon,East,5.61599,14.0625,Health,,http://www.iom.int,IOM
Cameroon,East,5.61599,14.0625,Health,,http://www.msf.org/,MSF
Cameroon,East,5.61599,14.0625,Health,,http://www.unfpa.org/public/,UNFPA
Cameroon,East,5.61599,14.0625,Health,,http://www.unicef.org/,UNICEF
Cameroon,East,5.61599,14.0625,Health,,http://www.who.int/en/,WHO
Cameroon,East,5.61599,14.0625,Livelihood,,http://www.ird.org/,IRD
Cameroon,East,5.61599,14.0625,Livelihood,,http://www.pu-ami.org/,PU-AMI
Cameroon,East,5.61599,14.0625,"Mental Health and Psychosocial Support",,,"CARE International"
Cameroon,East,5.61599,14.0625,"Mental Health and Psychosocial Support",,http://plan-international.org/,"PLAN International"
Cameroon,East,5.61599,14.0625,Nutrition,,http://www.actioncontrelafaim.org/en/,ACF
Cameroon,East,5.61599,14.0625,Nutrition,,http://www.africahumanitarian.org/,AHA
Cameroon,East,5.61599,14.0625,Nutrition,,https://www.ifrc.org/,IFRC
Cameroon,East,5.61599,14.0625,Nutrition,,http://www.msf.org/,MSF
Cameroon,East,5.61599,14.0625,Nutrition,,http://plan-international.org/,"PLAN International"
Cameroon,East,5.61599,14.0625,Nutrition,,http://www.unicef.org/,UNICEF
Cameroon,East,5.61599,14.0625,Nutrition,,http://www.wfp.org/,WFP
Cameroon,East,5.61599,14.0625,Protection,,https://www.ifrc.org/,IFRC
Cameroon,East,5.61599,14.0625,Registration,,http://www.iom.int,IOM
Cameroon,East,5.61599,14.0625,Registration,,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,East,5.61599,14.0625,"Reproductive Health",,http://www.unfpa.org/public/,UNFPA
Cameroon,East,5.61599,14.0625,Shelter,,https://www.ifrc.org/,IFRC
Cameroon,East,5.61599,14.0625,Shelter,,http://www.ird.org/,IRD
Cameroon,East,5.61599,14.0625,Shelter,,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,East,5.61599,14.0625,Transportation,,http://www.iom.int,IOM
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.actioncontrelafaim.org/en/,ACF
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.ird.org/,IRD
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.msf.org/,MSF
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://plan-international.org/,"PLAN International"
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.pu-ami.org/,PU-AMI
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.solidarites.org/en/,Solidarités
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,East,5.61599,14.0625,"Water & Sanitation",,http://www.unicef.org/,UNICEF
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Agriculture,,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Camp Management",,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Child Protection",,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Child Protection",,,CEMIR
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Community Services",,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Community Services",,,CEMIR
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Education,,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Education,,,CEMIR
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Gender-Based Violence",,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,"Gender-Based Violence",,,CEMIR
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Health,,,MDA
"Congo (Brazaville)",Likouala,-0.307616,15.9961,HIV/AIDS,,,MDA
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Livelihood,,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Protection,,,UNHCR
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Shelter,,,AARREC
"Congo (Brazaville)",Likouala,-0.307616,15.9961,Telecom,,,UNHCR
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,"Child Protection",,,CEMIR
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,"Community Services",,,CEMIR
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,Education,,,CEMIR
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,Health,,,MDA
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,HIV/AIDS,,,MDA
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,Protection,,,UNHCR
"Congo (Brazaville)","Congo (Brazaville)",0.527336,16.5234,Telecom,,,UNHCR
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Agency Operational Support",,http://www.unops.org/francais/Pages/default.aspx,UNOPS
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Community Services",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Crop Production",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Domestic Needs / Household Support",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,Education,,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,Health,,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Income Generation",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Income Generation",,http://www.saara.gouv.ci/,SAARA
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Legal Assistance / Protection",,http://www.saara.gouv.ci/,SAARA
"Côte d'Ivoire","District Autonome d'Abidjan",5.3754,-4.03748,"Transport / Logistics",,http://www.iom.int/cms/en/sites/iom/home.html,OIM
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Community Services",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Domestic Needs / Household Support",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,Education,,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,Health,,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Income Generation",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Income Generation",,http://www.saara.gouv.ci/,SAARA
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Legal Assistance / Protection",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Legal Assistance / Protection",,justice.gouv.ci,MJDHLP
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Legal Assistance / Protection",,http://www.saara.gouv.ci/,SAARA
"Côte d'Ivoire",Bas-Sassandra,5.26601,-6.8335,"Transport / Logistics",,http://www.iom.int/cms/en/sites/iom/home.html,OIM
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Community Services",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Community Services",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Community Services",,http://www.ivorycoast.nrc.no/,NRC
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Crop Production",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Domestic Needs / Household Support",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Domestic Needs / Household Support",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,Education,,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,Education,,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,Health,,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,Health,,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Income Generation",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Income Generation",,,AWECO
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Income Generation",,http://www.caritas-ci.org/,"CARITAS Côte d'Ivoire"
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Income Generation",,http://www.saara.gouv.ci/,SAARA
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Legal Assistance / Protection",,www.asapsu.org,ASAPSU
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Legal Assistance / Protection",,justice.gouv.ci,MJDHLP
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Legal Assistance / Protection",,http://www.saara.gouv.ci/,SAARA
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,Other,,,AWECO
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Shelter / Other Infrastructure",,http://www.ivorycoast.nrc.no/,NRC
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Transport / Logistics",,http://www.iom.int/cms/en/sites/iom/home.html,OIM
"Côte d'Ivoire",Montagnes,6.83917,-7.69043,"Water & Sanitation",,http://www.ivorycoast.nrc.no/,NRC
Ethiopia,"Dollo Ado",4.18276,42.0498,"Camp Management",,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,"Child Protection",,http://www.savethechildren.net/ethiopia/members_programmes/usa.html,"SC US"
Ethiopia,"Dollo Ado",4.18276,42.0498,"Child Protection",,,UNICEF
Ethiopia,"Dollo Ado",4.18276,42.0498,"Core Relief Items (CRIs)",,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,"Core Relief Items (CRIs)",,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,"Core Relief Items (CRIs)",,http://www.zoa-international.com/,ZOA
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,,DICAC
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,http://www.jrsea.org,JRS
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,http://www.lwf-kenya.org/,LWF
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,http://www.nrc.no/,NRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,,SC
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,,UNICEF
Ethiopia,"Dollo Ado",4.18276,42.0498,Education,,,WVI
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,http://www.drc.dk/,DRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,http://www.lwf-kenya.org/,LWF
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,,PAPDA
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,,PWO
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,,SeE
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,,WVI
Ethiopia,"Dollo Ado",4.18276,42.0498,Environment,,http://www.zoa-international.com/,ZOA
Ethiopia,"Dollo Ado",4.18276,42.0498,Food,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Food,,http://www.savethechildren.net/ethiopia/members_programmes/usa.html,"SC US"
Ethiopia,"Dollo Ado",4.18276,42.0498,Food,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Food,,http://www.wfp.org/countries/kenya,WFP
Ethiopia,"Dollo Ado",4.18276,42.0498,"Gender-Based Violence",,http://www.internationalmedicalcorps.org/,IMC
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,,Humedica
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,http://www.internationalmedicalcorps.org/,IMC
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,,PAPDA
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,,RaDO
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,http://www.unfpa.org/,UNFPA
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,,UNICEF
Ethiopia,"Dollo Ado",4.18276,42.0498,Health,,,WHO
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,http://www.drc.dk/,DRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,http://www.lwf-kenya.org/,LWF
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,http://www.nrc.no/,NRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,,PAPDA
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,,PWO
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,,SC
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,,WVI
Ethiopia,"Dollo Ado",4.18276,42.0498,Livelihood,,http://www.zoa-international.com/,ZOA
Ethiopia,"Dollo Ado",4.18276,42.0498,Logistics,,,AHADA
Ethiopia,"Dollo Ado",4.18276,42.0498,Logistics,,http://www.iom.int,IOM
Ethiopia,"Dollo Ado",4.18276,42.0498,Logistics,,http://www.thw.de/,THW
Ethiopia,"Dollo Ado",4.18276,42.0498,Logistics,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,http://www.actionagainsthunger.org/,ACF
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,"http:// www.goal.ie",GOAL
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,http://www.internationalmedicalcorps.org/,IMC
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,,MSF-H
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,,SC
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,http://www.savethechildren.net/ethiopia/members_programmes/usa.html,"SC US"
Ethiopia,"Dollo Ado",4.18276,42.0498,Nutrition,,,UNICEF
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.drc.dk/,DRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.helpage.org,HelpAge
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.internationalmedicalcorps.org/,IMC
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.iom.int,IOM
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.rescue.org/,IRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,,PAPDA
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,,PWO
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,,RaDO
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,,SC
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.savethechildren.net/ethiopia/members_programmes/usa.html,"SC US"
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Protection,,,UNICEF
Ethiopia,"Dollo Ado",4.18276,42.0498,Registration,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Registration,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.africahumanitarian.org/,AHA
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,,AHADA
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.drc.dk/,DRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.iom.int,IOM
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,,IRD
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.lwf-kenya.org/,LWF
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.nrc.no/,NRC
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.oxfam.org.uk/,Oxfam-GB
Ethiopia,"Dollo Ado",4.18276,42.0498,Shelter,,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.arra.org.et,ARRA
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.drc.dk/,DRC
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.internationalmedicalcorps.org/,IMC
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.rescue.org/,IRC
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.lwf-kenya.org/,LWF
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.nrc.no/,NRC
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,http://www.unhcr.org,UNHCR
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,,UNICEF
Ethiopia,"Dollo Ado",4.18276,42.0498,"Water & Sanitation",,,WVI
Djibouti,Djibouti,11.753,42.5779,"Community Services",,http://www.lwf-kenya.org/,LWF
Djibouti,Djibouti,11.753,42.5779,Education,,http://www.lwf-kenya.org/,LWF
Ethiopia,"Addis Ababa",9.00038,38.7507,"Community Services",,http://www.jrsea.org,JRS
Ethiopia,"Addis Ababa",9.00038,38.7507,Education,,http://www.jrsea.org,JRS
Ethiopia,"Addis Ababa",9.00038,38.7507,Food,,http://www.jrsea.org,JRS
Ethiopia,"Addis Ababa",9.00038,38.7507,Livelihood,,http://www.jrsea.org,JRS
Kenya,Dadaab,0.09819,40.2607,"Child Protection",,http://www.savethechildren.org.uk,SCUK
Kenya,Dadaab,0.09819,40.2607,"Community Services",,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,"Community Services",,http://www.lwf-kenya.org/,LWF
Kenya,Dadaab,0.09819,40.2607,"Community Services",,,UNV
Kenya,Dadaab,0.09819,40.2607,"Core Relief Items (CRIs)",,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,"Core Relief Items (CRIs)",,http://www.giz.de/en/home.html,GIZ
Kenya,Dadaab,0.09819,40.2607,"Core Relief Items (CRIs)",,http://www.unhcr.org,UNHCR
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.adeo.or.ke,ADEO
Kenya,Dadaab,0.09819,40.2607,Education,,,AVSI
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.drc.dk/,DRC
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.filmaid.org,FilmAid
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.lwf-kenya.org/,LWF
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.nrc.no/,NRC
Kenya,Dadaab,0.09819,40.2607,Education,,http://www.unhcr.org,UNHCR
Kenya,Dadaab,0.09819,40.2607,Education,,,UNICEF
Kenya,Dadaab,0.09819,40.2607,Education,,"http:// www.windle.org",WTK
Kenya,Dadaab,0.09819,40.2607,Environment,,http://www.faidakenya.org,FaIDA
Kenya,Dadaab,0.09819,40.2607,Environment,,http://www.rrdo.org,RRDO
Kenya,Dadaab,0.09819,40.2607,Food,,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,Food,,http://www.nrc.no/,NRC
Kenya,Dadaab,0.09819,40.2607,Food,,http://www.savethechildren.org.uk,SCUK
Kenya,Dadaab,0.09819,40.2607,Food,,http://www.wfp.org/countries/kenya,WFP
Kenya,Dadaab,0.09819,40.2607,"Gender-Based Violence",,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,"Gender-Based Violence",,http://www.rescue.org/,IRC
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.adeo.or.ke,ADEO
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.drc.dk/,DRC
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.filmaid.org,FilmAid
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.giz.de/en/home.html,GIZ
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.iom.int,IOM
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.rescue.org/,IRC
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.ncck.org/,NCCK
Kenya,Dadaab,0.09819,40.2607,Health,,http://www.unhcr.org,UNHCR
Kenya,Dadaab,0.09819,40.2607,Health,,,UNV
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.adeo.or.ke,ADEO
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.filmaid.org,FilmAid
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.giz.de/en/home.html,GIZ
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.handicap-international.org,HI
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.ncck.org/,NCCK
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.savethechildren.org.uk,SCUK
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,http://www.unhcr.org,UNHCR
Kenya,Dadaab,0.09819,40.2607,HIV/AIDS,,"http:// www.windle.org",WTK
Kenya,Dadaab,0.09819,40.2607,Livelihood,,http://www.iom.int,IOM
Kenya,Dadaab,0.09819,40.2607,Logistics,,http://www.care.or.ke,CARE
Kenya,Dadaab,0.09819,40.2607,Logistics,,http://www.giz.de/en/home.html,GIZ
Kenya,Dadaab,0.09819,40.2607,Logistics,,http://www.unhcr.org,UNHCR
Kenya,Dadaab,0.09819,40.2607,Nutrition,,http://www.adeo.or.ke,ADEO
Kenya,Dadaab,0.09819,40.2607,Nutrition,,http://www.giz.de/en/home.html,GIZ
