iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
41122-Sierra Leone-3900/A0/05/001/047,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 1.5.2 INTEGRATED NUTRITIONAL SURVEILL,;IR 1.5.2 INTEGRATED NUTRITIONAL SURVEILL,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,16050,Multisector aid for basic social services,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,10761,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/031,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR1: EDUCATION GOVERNANCE SYSTEMS,;IR1: EDUCATION GOVERNANCE SYSTEMS,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,BASIC EDUCATION AND GENDER EQUALITY,,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11110;11220,Education policy and administrative management;Primary education,44;56,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,812835,0,839646,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/030,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,7300 TEACHERS APPLY CCTT METHODOLOG,;7300 TEACHERS APPLY CCTT METHODOLOG,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Netherlands,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11220,Primary education,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,21483,0,253069,0,0,0,0
41122-Sierra Leone-3900/A0/05/006/012,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,PROJECT SUPPORT,;PROJECT SUPPORT,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,43010,Multisector aid,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,582184,0,97776,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/033,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR3:  WASH IN SCHOOLS,;IR3:  WASH IN SCHOOLS,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,The United Kingdom,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,12261,Health education,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,4842687,0,5058372,0,0,0,0
41122-Sierra Leone-3900/A0/05/001/032,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 16.  PROJECT SUPPORT,;IR 16.  PROJECT SUPPORT,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,YOUNG CHILD SURVIVAL & DEVELOPMENT,,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,;43010,;Multisector aid,42;58,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,3085410,0,1041776,0,0,0,0
41122-Sierra Leone-3900/A0/05/001/041,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 9 SUSTAINABLE SANITATION,;IR 9 SUSTAINABLE SANITATION,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,United Arab Emirates,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,14020;12261;14010;14030,Water supply and sanitation - large systems;Health education;Water resources policy and administrative management;Basic drinking water supply and basic sanitation,88;;2;10,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,2919900,0,3522379,0,0,0,0
41122-Sierra Leone-3900/A0/06/001/003,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,;PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Canada,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,12220,Basic health care,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,32058537,1570273,16496375,0,0,0,0
41122-Sierra Leone-3900/A0/06/001/007,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,SUSTAINABLE WATER,;SUSTAINABLE WATER,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,African Development Bank,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,72010;14020,Material relief assistance and services;Water supply and sanitation - large systems,29;71,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,9024048,205071,6577882,0,0,0,0
41122-Sierra Leone-3900/A0/06/004/005,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,4.4 INCREASED CAPACITY OF MDAS AND IMPLE,;4.4 INCREASED CAPACITY OF MDAS AND IMPLE,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,13010,Population policy and administrative management,,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,0,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/026,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,"2.2  POLICIES, PLANS AND STRATEGY DEVELO",";2.2  POLICIES, PLANS AND STRATEGY DEVELO",2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11110,Education policy and administrative management,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,13694,0,0,0,0
41122-Sierra Leone-3900/A0/05/003/019,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 3.3 PROVENTION OF AND RESPONSE TO GEN,;IR 3.3 PROVENTION OF AND RESPONSE TO GEN,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Japan Committee for UNICEF,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,16020;15162;13020;16010;15130,Employment policy and administrative management;Human rights;Reproductive health care;Social/ welfare services;Legal and judicial development,5;60;1;29;6,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,775215,0,830098,0,0,0,0
41122-Sierra Leone-3900/A0/06/002/005,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,2.5  PEACE AND EMERGENCIES,;2.5  PEACE AND EMERGENCIES,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,BASIC EDUCATION AND GENDER EQUALITY,,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11110,Education policy and administrative management,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,661244,428176,223446,0,0,0,0
41122-Sierra Leone-3900/A0/05/001/039,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 7.  MICRONUTRIENT INTERVENTIONS,;IR 7.  MICRONUTRIENT INTERVENTIONS,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,United Nations Joint Programme,,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,12240,Basic nutrition,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,72335,0,79557,0,0,0,0
41122-Sierra Leone-3900/A0/05/003/024,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,3.6  KNOWLEDGE ON CHILD PROTECTION ISSUE,;3.6  KNOWLEDGE ON CHILD PROTECTION ISSUE,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15261,Child soldiers (Prevention and demobilisation),100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,2000,0,2000,0,0,0,0
41122-Sierra Leone-3900/A0/05/004/020,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 6. SOCIAL POLICIES AND PROTECTION,;IR 6. SOCIAL POLICIES AND PROTECTION,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,16010;15140;16050,Social/ welfare services;Government administration;Multisector aid for basic social services,;;,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,0,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/027,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,"2.1  BY 2012, THE ESP IS EFFECTIVELY IMP",";2.1  BY 2012, THE ESP IS EFFECTIVELY IMP",2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11110;12261;11220,Education policy and administrative management;Health education;Primary education,63;9;28,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,142745,0,0,0,0
41122-Sierra Leone-3900/A0/05/004/019,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,"IR 1.  CAPACITY OF STAFF MEMBERS, COUNTE",";IR 1.  CAPACITY OF STAFF MEMBERS, COUNTE",2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,POLICY ADVOCACY AND PARTNERSHIP,,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,13010;15110;43010;15162;15140;16050,Population policy and administrative management;Economic and development policy/planning;Multisector aid;Human rights;Government administration;Multisector aid for basic social services,19;2;28;10;40;2,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,336944,0,357674,0,0,0,0
41122-Sierra Leone-3900/A0/05/003/023,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,3.5  COMMUNITY STRUCTURES FOR THE PROTEC,;3.5  COMMUNITY STRUCTURES FOR THE PROTEC,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15130;13020;,Legal and judicial development;Reproductive health care;,8;21;71,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,170515,0,0,0,0
41122-Sierra Leone-3900/A0/06/001/008,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,PHU & BEMONC WASH,;PHU & BEMONC WASH,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,European Commission/EC,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,14020,Water supply and sanitation - large systems,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,13820420,28622,638432,0,0,0,0
41122-Sierra Leone-3900/A0/06/004/007,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,4.6 PROJECT SUPPORT,;4.6 PROJECT SUPPORT,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,43010,Multisector aid,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,2040222,305715,413552,0,0,0,0
41122-Sierra Leone-3900/A0/06/001/006,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,HYGIENE AND SANITATION,;HYGIENE AND SANITATION,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,14020;12261;14030,Water supply and sanitation - large systems;Health education;Basic drinking water supply and basic sanitation,4;2;94,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,4989908,131087,2480199,0,0,0,0
41122-Sierra Leone-3900/A0/05/003/022,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,"3.4  STAKEHOLDERS’ (GOVERNMENT, LOCAL CO",";3.4  STAKEHOLDERS’ (GOVERNMENT, LOCAL CO",2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15162;,Human rights;,28;72,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,247958,0,0,0,0
41122-Sierra Leone-3900/A0/06/001/004,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,SAM TREATMENT,;SAM TREATMENT,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Ireland,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,16050;;12240,Multisector aid for basic social services;;Basic nutrition,2;22;76,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,3919614,139141,1178156,0,0,0,0
41122-Sierra Leone-3900/A0/05/004/017,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 3.  ESSENTIAL FAMILY PRACTICES,;IR 3.  ESSENTIAL FAMILY PRACTICES,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,United Nations Foundation Inc.,,Foundation,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,12262;11120;43010;12220;22010,Malaria control;Education facilities and training;Multisector aid;Basic health care;Communications policy and administrative management,26;3;61;5;5,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,667716,0,941114,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/034,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR4:  COMMUNITY STRUCTURES IN PLACE,;IR4:  COMMUNITY STRUCTURES IN PLACE,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Austrian Committee for UNICEF,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11320;11110;11220,Secondary education;Education policy and administrative management;Primary education,5;67;28,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,1554776,0,1584949,0,0,0,0
41122-Sierra Leone-3900/A0/05/002/035,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR5:  EDUCATION IN EMERGENCIES,;IR5:  EDUCATION IN EMERGENCIES,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Netherlands,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,72010;11110,Material relief assistance and services;Education policy and administrative management,80;20,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,75209,0,76666,0,0,0,0
41122-Sierra Leone-3900/A0/05/004/018,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 2.  STRENGTHENED SUPPORT TO THE CONDU,;IR 2.  STRENGTHENED SUPPORT TO THE CONDU,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Australian Committee for UNICEF Ltd,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,16062;15162,Statistical capacity building;Human rights,99;1,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,134863,0,195441,0,0,0,0
41122-Sierra Leone-3900/A0/05/003/002,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 3.2: ALTERNATIVE CARE,;IR 3.2: ALTERNATIVE CARE,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15130;16010;15261,Legal and judicial development;Social/ welfare services;Child soldiers (Prevention and demobilisation),9;86;5,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,125429,0,130536,0,0,0,0
41122-Sierra Leone-3900/A0/06/004/001,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,4.1 INCREASED KWDG AND SKILLS OF GOVT.,;4.1 INCREASED KWDG AND SKILLS OF GOVT.,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Polish National Comm for UNICEF,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15162;43010;15110;15140;16050,Human rights;Multisector aid;Economic and development policy/planning;Government administration;Multisector aid for basic social services,51;29;11;1;8,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,843152,270595,423784,0,0,0,0
41122-Sierra Leone-3900/A0/06/003/003,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,3.3  PREVENTION AND RESPONSE TO GBV,;3.3  PREVENTION AND RESPONSE TO GBV,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Japan Committee for UNICEF,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15162;13020,Human rights;Reproductive health care,26;74,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,1919611,501920,847076,0,0,0,0
41122-Sierra Leone-3900/A0/06/002/006,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,2.6  PROJECT SUPPORT,;2.6  PROJECT SUPPORT,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Global - Education,,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11110;11220,Education policy and administrative management;Primary education,82;18,OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,2882524,275663,323590,0,0,0,0
41122-Sierra Leone-3900/A0/06/001/012,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,WASH IN SCHOOLS,;WASH IN SCHOOLS,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Netherlands,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,,,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,3346845,117109,658138,0,0,0,0
41122-Sierra Leone-3900/A0/05/004/015,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 5. GENDER MAINSTREAMING,;IR 5. GENDER MAINSTREAMING,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15140;43010;15162,Government administration;Multisector aid;Human rights,55;3;42,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,101839,0,101840,0,0,0,0
41122-Sierra Leone-3900/A0/05/003/020,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 3.4  JUSTICE FOR CHILDREN,;IR 3.4  JUSTICE FOR CHILDREN,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Iceland National Comm for UNICEF,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,15130,Legal and judicial development,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,106305,0,100062,0,0,0,0
