#sector,#org,,,#period_date,,,#activity_id,#activity,,,,#country,#adm1,#adm2,,,,,
Cluster,Organization,ProjectCode,FundingStatus,MONTH,Objective,Priority,ActivityId,Activity,IndicatorId,Indicator,Accumulative,Country,Admin1,Admin2,AnnualTarget,Achieved,ReportDetailId,ProjectId,IsApproved
Food Security,World Food Programme,SEN-14/F/65761,,March,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",988,quantity of food distributed,NO,Senegal,Saint-Louis,,221,28.07,6,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,April,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",856,"number of of women, men receiving assistance",NO,Senegal,Saint-Louis,,13987,2220,7,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,April,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",988,quantity of food distributed,NO,Senegal,Saint-Louis,,221,2220,8,65761,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Dakar,,10207,10207,13,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Diourbel,,13578,12561,14,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Fatick,,18997,18180,15,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaffrine,,37652,36449,16,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaolack,,84859,84859,17,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kédougou,,23372,23179,18,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kolda,,65766,65766,19,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Louga,,24007,22314,20,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Matam,,18592,18592,21,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Sédhiou,,58485,58105,22,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Tambacounda,,55456,55057,23,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Thiès,,23304,20091,24,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Ziguinchor,,77896,77856,25,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Dakar,,20,15,26,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Diourbel,,20,15,27,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Fatick,,20,15,28,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaffrine,,20,15,29,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaolack,,20,15,30,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kédougou,,20,15,31,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kolda,,20,15,32,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Louga,,20,15,33,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Matam,,20,15,34,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Sédhiou,,20,15,35,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Tambacounda,,20,15,36,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Thiès,,20,15,37,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,January,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Ziguinchor,,20,15,38,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Dakar,,10207,10207,39,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Diourbel,,13578,12561,40,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Fatick,,18997,18180,41,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaffrine,,37652,36449,42,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaolack,,84859,84859,43,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kédougou,,23372,23179,44,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kolda,,65766,65766,45,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Louga,,24007,22314,46,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Matam,,18592,18592,47,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Sédhiou,,58485,58105,48,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Tambacounda,,55456,55057,49,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Thiès,,23304,20091,50,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Ziguinchor,,77896,77896,51,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Dakar,,20,15,52,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Diourbel,,20,15,53,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Fatick,,20,15,54,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaffrine,,20,15,55,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaolack,,20,15,56,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kédougou,,20,15,57,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kolda,,20,15,58,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Louga,,20,15,59,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Matam,,20,15,60,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Sédhiou,,20,15,61,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Tambacounda,,20,15,62,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Thiès,,20,15,63,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,February,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Ziguinchor,,20,15,64,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Dakar,,10207,10207,65,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Fatick,,18997,17389,66,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaffrine,,37652,36449,67,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaolack,,84859,84859,68,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kédougou,,23372,23168,69,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kolda,,65766,65766,70,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Matam,,18592,17896,71,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Sédhiou,,58485,58485,72,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Tambacounda,,55456,55270,73,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Thiès,,23304,426,74,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Ziguinchor,,77896,77896,75,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Dakar,,20,15,76,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Diourbel,,20,15,77,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Fatick,,20,15,78,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaffrine,,20,15,79,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaolack,,20,15,80,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kédougou,,20,15,81,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kolda,,20,15,82,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Louga,,20,15,83,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Matam,,20,15,84,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Sédhiou,,20,15,85,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Tambacounda,,20,15,86,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Thiès,,20,15,87,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,March,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Ziguinchor,,20,15,88,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Dakar,,10207,10207,89,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Diourbel,,13578,13578,90,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Fatick,,18997,18997,91,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaffrine,,37652,37652,92,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kaolack,,84859,83891,93,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kédougou,,23372,23168,94,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Kolda,,65766,65766,95,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Louga,,24007,24007,96,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Matam,,18592,17896,97,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Sédhiou,,58485,58485,98,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Tambacounda,,55456,55270,99,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Thiès,,23304,23304,100,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,755,number of children receiving nutritional support,NO,Senegal,Ziguinchor,,77896,77896,101,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Dakar,,20,15,102,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Diourbel,,20,15,103,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Fatick,,20,15,104,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaffrine,,20,15,105,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kaolack,,20,15,106,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kédougou,,20,15,107,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Kolda,,20,15,108,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Louga,,20,15,109,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Matam,,20,15,110,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Sédhiou,,20,15,111,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Tambacounda,,20,15,112,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Thiès,,20,15,113,65770,Yes
Food Security,World Food Programme,SEN-14/F/65770,,April,OBJECTIVE 3,Priority 4: Food insecurity,449,School canteens,915,number of support period (in months),NO,Senegal,Ziguinchor,,20,15,114,65770,Yes
Protection,United Nations Entity for Gender Equality and the Empowerment of Women,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Bamako,,,16,622,65235,Yes
Protection,United Nations Entity for Gender Equality and the Empowerment of Women,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Gao,,,9,623,65235,Yes
Protection,United Nations Entity for Gender Equality and the Empowerment of Women,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Kayes,,,2,624,65235,Yes
Protection,United Nations Entity for Gender Equality and the Empowerment of Women,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Koulikoro,,,2,625,65235,Yes
Protection,United Nations Population Fund,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Bamako,,,16,622,65235,Yes
Protection,United Nations Population Fund,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Gao,,,9,623,65235,Yes
Protection,United Nations Population Fund,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Kayes,,,2,624,65235,Yes
Protection,United Nations Population Fund,MLI-14/P-HR-RL/65235,,June,OBJECTIVE 2,Priority 4: Food insecurity,1061,"Organize activities Capacity building in the area of ​​protection, GBV, PE",2515,Number of men and women trained,NO,Mali,Koulikoro,,,2,625,65235,Yes
Protection,International Organization for Migration,MLI-14/P-HR-RL/65642,,June,OBJECTIVE 1,Priority 2: Conflict,799,"Monitoring internal and cross-border movements of people ( disaggregated by sex and age data) , including the return movements of IDPs and refugees, in partnership with the government",2149,Number of internally displaced people followed (disaggregated by sex and age data).,NO,Mali,Bamako,,,2,580,65642,Yes
Protection,International Organization for Migration,MLI-14/P-HR-RL/65642,,June,OBJECTIVE 1,Priority 2: Conflict,799,"Monitoring internal and cross-border movements of people ( disaggregated by sex and age data) , including the return movements of IDPs and refugees, in partnership with the government",2149,Number of internally displaced people followed (disaggregated by sex and age data).,NO,Mali,Gao,,,2,581,65642,Yes
Protection,International Organization for Migration,MLI-14/P-HR-RL/65642,,June,OBJECTIVE 1,Priority 2: Conflict,799,"Monitoring internal and cross-border movements of people ( disaggregated by sex and age data) , including the return movements of IDPs and refugees, in partnership with the government",2149,Number of internally displaced people followed (disaggregated by sex and age data).,NO,Mali,Kayes,,,2,582,65642,Yes
Protection,International Organization for Migration,MLI-14/P-HR-RL/65642,,June,OBJECTIVE 1,Priority 2: Conflict,799,"Monitoring internal and cross-border movements of people ( disaggregated by sex and age data) , including the return movements of IDPs and refugees, in partnership with the government",2149,Number of internally displaced people followed (disaggregated by sex and age data).,NO,Mali,Kidal,,,2,583,65642,Yes
Protection,International Organization for Migration,MLI-14/P-HR-RL/65642,,June,OBJECTIVE 1,Priority 2: Conflict,799,"Monitoring internal and cross-border movements of people ( disaggregated by sex and age data) , including the return movements of IDPs and refugees, in partnership with the government",2149,Number of internally displaced people followed (disaggregated by sex and age data).,NO,Mali,Koulikoro,,,2,584,65642,Yes
Protection,International Organization for Migration,MLI-14/P-HR-RL/65642,,June,OBJECTIVE 1,Priority 2: Conflict,799,"Monitoring internal and cross-border movements of people ( disaggregated by sex and age data) , including the return movements of IDPs and refugees, in partnership with the government",2149,Number of internally displaced people followed (disaggregated by sex and age data).,NO,Mali,Mopti,,,2,585,65642,Yes
