tag,name,type,description,example
#activity,Project/activity description,Text,A free-text title/description of the project or activity.,Drought-resistant seed distribution
#activity_id,Project/activity id,Code,A unique identifier for the project or activity.,PF2014-7795
#status,Project/activity status description,Text,A free-text description of the status of the project/activity.,Currently active
#status_id,Project/activity status code,Code,A code identifying the status of the project/activity.,active
#name,Contact name,Text,The name of the contact person for the project/activity.,Jeanne Gervais
#email,Contact email,Email,The email of the contact person for the project/activity.,jgervais@example.org
#phone,Contact phone,Phone number,The phone number of the contact person for the project/activity.,+1-613-555-1111
#org,Organisation description,Text,A free-text description of an organisation involved in an activity (without specifying role).,World Food Programme (WFP)
#org_id,Organisation id,Code,A unique identifier for an organisation involved in an activity (without specifying role).,561
#prog,Programmer description,Text,A free-text description of the organisation programming the project/activity.,World Food Programme (WFP)
#prog_id,Programmer id,Code,A unique identifier for the organisation programming the project/activity.,561
#impl,Implementer description,Text,A free-text description of the organisation implementing the project/activity.,Canadian Food Grains Bank
#impl_id,Implementer id,Code,A unique identifier for the organisation implementing the project/activity.,5804
#funder,Funder/donor description.,Text,The name of a funder/donor for the activity.,USAID
#funder_id,Funder/donor id,Code,A unique identifier for a funder/donor for the activity.,590.us
#sector,Sector/Cluster description,Text,A free-text description of the cluster in which a project/activity is taking place.,Food Security
#sector_id,Sector/cluster code,Code,A code identifying the cluster in which a project/activity is taking place.,FS
#subsector,Subsector description,Text,A free-text description of a subsector to which the project/activity applies.,Agriculture capacity
#subsector_id,Subsector code,Code,A code identifying a subsector to which the project/activity applies.,F0104
#output,Output indicator description,Text,A free-text description of an output indicator targetted by the project/activity.,Change in production compared to previous year’s harvest by commodity
#output_id,Output indicator code,Code,A code identifying an output indicator targetted by the project/activity.,F-12
#beneficiary,Beneficiary description,Text,A free-text description of an intended beneficiary group for the project/activity.,Agricultural food producers
#beneficiary_id,Beneficiary code,Code,A code identifying an intended beneficiary group for the project/activity.,FS/11/16
#delivered_num,Number of items delivered.,Number,"The number of units of aid delivered, however those units are defined (in the output indicator above).","3,000"
